pool_id,category,max_potential_return,buy_volume_10s_at_first,holder_delta_10s_at_first,marketcap_change_10s_at_first,marketcap_change_30s_at_first,marketcap_at_10s,percent_of_max_return_at_10s,potential_return_at_10s,marketcap_at_20s,percent_of_max_return_at_20s,potential_return_at_20s,marketcap_at_30s,percent_of_max_return_at_30s,potential_return_at_30s,marketcap_at_60s,percent_of_max_return_at_60s,potential_return_at_60s,marketcap_at_120s,percent_of_max_return_at_120s,potential_return_at_120s,marketcap_at_180s,percent_of_max_return_at_180s,potential_return_at_180s,big_buy_5s_at_first,marketcap_change_5s_at_first,large_buy_5s_at_first,net_volume_5s_at_first,holders_count_at_first,super_buy_5s_at_first,holder_delta_5s_at_first,buy_volume_5s_at_first
26h9HaXhuLhJzNP68YMXKxFXhHV4i9XYM4xGx2pCAs4X,do_not_buy,1.4071668012357068,31.746268018,22,35.47677006,35.47677006,74509.26656505,100.0,1.4071668012357068,78623.79451373,94.76681585501258,1.3335271712999133,67757.0938378,109.96526318471341,1.5473946764267579,58425.59630517,127.5284657359274,1.794538231961224,47039.29442632,158.39792555085532,2.2289230221976872,39798.16952791,187.2178229523785,2.6344670505821135,0,-0.48355377,1,1.704926029,150,0,0,6.2875
27yP2GNge5rNe64koTehUJmuexKYTxTnsPveyyYUZbx9,definitely_buy,8.617241134681299,7.82415,26,82.67627354,65.8567512,95295.04049488,100.0,8.617241134681299,78700.54944432,121.08561016121044,10.434239006991666,79483.83682591,119.89235082297374,10.331412972453705,68426.36430477,139.2665553154882,12.000934891499936,109808.63577667,86.78282889215754,7.478285629135086,175197.3356589,54.39297357832794,4.687173693568006,0,29.62528935,1,4.639043891,216,0,6,7.82415
295pB3dSUYAom7b1hndpUyKC9kTQ4RnDbwEDM6UfN6sS,do_not_buy,1.0658672782417586,65.492943952,38,84.91752699,84.91752699,91120.32651343,100.0,1.0658672782417586,89818.730108,101.44913694934779,1.0813131548017676,71307.60133661,127.78487118546221,1.3620171285092233,74401.49336319,122.47109889129135,1.3053793683853798,73241.50158033,124.41078425118144,1.326053839937294,75943.99521641,119.9835829729178,1.278865750170381,0,18.73158658,0,2.718386425,123,0,3,2.973
296ohR6WBVuDkKhRhRrmdVGv8zek2WSnGb3BNKRzk5kz,do_not_buy,1.7912000068620488,13.57378,33,30.11519264,30.11519264,62593.16088265,100.0,1.7912000068620488,66102.79908935,94.69063601685599,1.6960986788316421,71855.90132534,87.10928361923769,1.560301494165267,61015.59075157,102.58551971987488,1.8375118362618674,62895.53525802,99.51924349776252,1.7825886963609814,58843.06235276,106.37305126542944,1.9053541015657427,0,-21.9285141,0,1.485,68,0,5,1.485
29Ba7mGmyTfGMV2SePi1VUi5RFqinzMbtS2uCcw9KLna,do_not_buy,1.076538966154,56209970.048448,34,17.25260027,17.25260027,60362.99835399,100.0,1.076538966154,53624.07669384,112.56697005456158,1.21182729565626,51578.25384184,117.03187653286523,1.259893753697533,40261.34109883,149.92793758612316,1.6140326692656646,52950.74473703,113.99839351414525,1.2272371269693476,62190.65356739,97.06120597137712,1.0449017033008676,0,0.16264897,0,7668969.609132,360,12,4,7668973.203932
2AsWMvpFTg8Ka3c8i8tSwMFkBpVe7awrGZu9M4KwXWBH,do_not_buy,1.2225494247212467,41.677878124,32,-1.54019925,-1.54019925,53485.09710164,100.0,1.2225494247212467,43680.19588074,122.4470175172069,1.4969753082449373,44564.54638065,120.01714691493713,1.4672689391754172,37609.01977424,142.21348342153334,1.7386301234460015,38698.86637267,138.20843377317212,1.689666412010161,35795.55099756,149.41828135369616,1.8267123391179865,0,-18.20371596,0,-1.332119032,250,0,6,4.90523232
2B1Fh2X3rTQw8Whjq8FQvHAenzyfAG3vvHLopdt6Gaud,definitely_buy,8.59783654672315,0.0,12,14.63513196,14.63513196,65259.21724713,100.0,8.59783654672315,55639.75404663,117.28883127779145,10.084302000826405,67794.71502033,96.26003623963953,8.276280575700676,74501.3612423,87.59466425705716,7.531246056472701,123107.87829168,53.00978146379152,4.55769436403194,127885.1083046,51.029567173445976,4.387438776073178,1,-0.56184253,1,-1.683113865,422,0,-2,28.822179434
2BioruGkCRWPsWbD93XKeRg1yq7pAtDbGfYh2QJqN1Yp,maybe_buy,4.730260090252968,0.00495,13,77.86789121,77.86789121,135328.86962524,100.0,4.730260090252968,182770.56939159,74.04303114868287,3.5024279520397195,159865.00093946,84.65196811682897,4.004258263444028,165639.54082642,81.70082393977191,3.864661468230873,233467.90378397,57.96465699647565,2.7418790363563126,147303.90177587,91.8705261664755,4.3457148339582,0,29.82646794,0,0.00495,149,0,4,0.00495
2CCn9UJKrUu9y1HUW74PNngTSYhVJaQywtu33tdbiXz7,do_not_buy,1.396181021483297,46.319018986,78,592.33451262,592.33451262,336165.22232975,100.0,1.396181021483297,291764.97546707,115.2178124847241,1.6086492312799308,300573.38077701,111.84131524246486,1.5615072175926001,328201.64752689,102.42642743047399,1.4300583407676397,351882.10373518,95.53348089073087,1.3338203293587567,391925.10164204,85.77282264425675,1.1975438713496407,0,13.6122701,0,1.966538926,110,0,7,6.40127
2CnsgLtuNfgGKzPXK1Wtk8jUHhcor5D4eLZY6pT39wpw,do_not_buy,1.1700888366019533,13.400231995,39,25.52678517,25.52678517,64333.88064978,100.0,1.1700888366019533,67597.72838824,95.17166062191549,1.1135929765457304,64303.57183968,100.04713394486944,1.1706403456291208,68098.33499312,94.47203174098114,1.1054066971122742,73811.07138277,87.16020434950319,1.019851821052987,69280.77416204,92.8596445809197,1.0865403349495921,0,6.12983124,0,-2.41126502,41,0,2,3.06430099
2DebkcNF7bvQVcivSsa4BvfPKQtu4iAPN9Zt4LsdyjeZ,do_not_buy,1.2706322319790324,0.1485,3,-15.90342956,-10.16798671,56785.23308824,100.0,1.2706322319790324,32662.23218322,173.85594704520233,2.209069700368739,5412.89196529,1049.0738306320081,13.32987022926742,3764.48343937,1508.446882628423,19.166812292959666,3594.2069564,1579.9099433360607,20.074844976269656,2979.80539399,1905.6691823825379,24.21404686624382,0,1.49943164,0,-10.940199199,32,0,2,0.7485
2FFNHjgT22Jpgh32Q2uAH9ZtucbxAqwRp5fYTJzuafMa,do_not_buy,1.3861854325651077,59.547854555,50,10.1001829,10.1001829,59633.60330612,100.0,1.3861854325651077,57241.0260305,104.17982947116488,1.4441256198004586,58963.10988188,101.13714053682581,1.4019483090343798,25499.83643881,233.8587678757006,3.2417161730692117,43259.74400707,137.8501067791201,1.9108580989476087,41458.82386002,143.83814530644824,1.993863416709818,0,2.77151075,0,-4.462624349,416,0,0,1.6292
2Fbk2JkHksfBGryuTA6S6L8CVdqmqAQWZVEuvMcqijQs,maybe_buy,4.792435917553771,42.213845868,85,123.69513258,123.69513258,119266.02962872,100.0,4.792435917553771,107236.08546333,111.21818659587655,5.330060321272761,105719.25420593,112.81391504749203,5.406534584734606,111024.51640554,107.42314714803727,5.148185487689178,140306.94676623,85.00365261845022,4.073745579319245,164409.62474114,72.54199978651022,3.476528853080495,0,35.25183165,0,-1.617474299,954,0,12,10.2727
2Gy1pMVzJNpDRGsZZsjmin1eetpAnG8Nrhy7soTiKpk6,maybe_buy,6.050026007298528,57.317327174,64,55.36199309,55.36199309,88982.09850541,100.0,6.050026007298528,124280.32028233,71.59789925168172,4.331691525406143,16090.13576647,553.0226705161712,33.4580153924852,51867.70692919,171.5558750782808,10.379175059284563,70431.69946447,126.33813919298929,7.643490278312866,156354.96198114,56.91031316047602,3.4430887470438365,1,5.8262119,0,2.821394825,336,0,34,31.287408096
2HBeuiJRNgcoACEHSicHWpEYTfrMgXCbr8mbMfTZXdAT,do_not_buy,1.2264544522544871,25.055874054,0,-17.54514232,-17.54514232,45158.59255855,100.0,1.2264544522544871,45915.19874378,98.35216615427916,1.2062445206878876,33102.42586021,136.42079510804626,1.673138915403605,34518.36881094,130.82481621853975,1.6045067831660311,16456.01243914,274.42001958592357,3.365636548089195,16014.22967119,281.9904140615108,3.458483988188263,1,-2.84091036,0,-1.036494995,0,0,0,19.519632166
2HFZH96bVNiRzQU7aivTr9v9rr5GkvGBraH9m1cd75cP,definitely_buy,7.704317885054386,27.287058549,57,-4.4736185,-4.4736185,56900.3940136,100.0,7.704317885054386,51449.18004732,110.59533691550824,8.520616322017657,61551.26611928,92.44390505848071,7.122172311063225,61285.00273094,92.84554373508021,7.153115831457777,4077.01125175,1395.639857240431,107.52453113232201,2894.05999571,1966.1096901220467,151.47534049586022,0,-14.20259099,1,-6.905229966,92,0,20,8.817497818
2HdNn65sCR8UHYfxqRgNkiAwreWTarkbjT6u8pfR19v6,do_not_buy,1.2108953267238083,102.118365314,65,24.89354757,24.89354757,58219.73596385,100.0,1.2108953267238083,4727.96348917,1231.3914034490683,14.910860958043484,4458.37534501,1305.8509313042016,15.812487901141905,5366.61979258,1084.8492759696862,13.136389184714,4735.51488332,1229.4277897619656,14.887083651671448,4785.36347157,1216.6209799889882,14.732006590628057,0,24.09026897,4,-6.543435869,98,0,10,22.496911209
2Hr9ozHQjkRxZTz5pXFVtsYTSYcfhbJ5NiZAU9NnFmrc,maybe_buy,4.711805793842112,31.378408542,31,32.3434733,32.3434733,75164.87887266,100.0,4.711805793842112,97342.21174005,77.21714714412488,3.638322012976465,100833.51963664,74.54354379726249,3.512347015574646,99158.89244704,75.80245908132243,3.5716646588685466,97758.7500245,76.88813416069908,3.6228195601609157,79123.54623992,94.99685295290425,4.476067221402614,0,2.89933717,1,7.194286654,38,0,0,9.026
2KN7kjG5VdeeV2a4m2LJZN25zmujj9fEKQ8YEFQ2QafB,do_not_buy,2.1329398291501107,54.576282915,38,-26.68602073,-26.68602073,41691.1328845,100.0,2.1329398291501107,50967.76602076,81.79901953622712,1.7447238675424686,40637.06962507,102.593846626135,2.1882650169460103,32412.91049476,128.6250825615921,2.7434956162334116,42500.68504594,98.09520208776651,2.0923116358152627,30081.664657,138.59317082307302,2.956108940967375,0,-29.63922916,0,4.994388798,509,0,11,7.614613109
2Lfvktt4y99Ly2xmTpEVhgdnvAFfXGTEy1Zx8wi9v2R8,do_not_buy,1.0285361243949713,34.251275227,49,58.85336105,58.85336105,86940.61359633,100.0,1.0285361243949713,61535.66004697,141.28492898259069,1.4531665329117258,86463.50608019,100.55180218541857,1.0342116092072022,61768.46137392,140.75243524365692,1.4476896424466508,3483.74592938,2495.6071814284905,25.66822138398718,3231.31118596,2690.567654829584,27.673460281208875,0,5.05448901,0,-3.89300758,122,0,11,0.6052
